Plate	Inplatecount	Sample	IgGTotal_RBD alpha	IgGTotal_N	IgGTotal_RBD beta	IgGTotal_RBD omicron	IgGTotal_RBD lambda	IgGTotal_RBD gamma	IgGTotal_zebra	IgGTotal_Eadp501	IgGTotal_RBD delta	IgGTotal_RBD wuhan	IgGTotal_AMA1	IgGTotal_MSP1	IgGTotal_HRPII	IgGTotal_Tetanus	IgGTotal_HCoV-229E	IgGTotal_HCoV-NL63	IgGTotal_HCoV-OC43	IgGTotal_pp28	IgGTotal_pp65	IgGTotal_EBNA1	IgGTotal_VCA	IgGTotal_FL spike	IgGTotal_BSA	IgGTotal_CelTos	IgGTotal_CSP	IgGTotal_HCoV-HKU1
PLATE1	1	HC-023K	1013	1066	546	791	288	873	213	119	438	1312.5	49908	94980	4751	12150.5	3467	29663	44058.5	8043	796	62179	51759	487.5	316	685	11757.5	50023
PLATE1	1	HC-024K	2905	7804.5	1179	9259	1114	1334.5	160	129.5	9018	1334.5	41892	43355	1080	18677	1050.5	660.5	50004	3937	571	40933	47673	13355.5	243	715.5	1637	1085
PLATE1	1	HC-025K	28747	13495	35556.5	17368	32094.5	26348	321	117	21412	28976	14568.5	18693	1523	6526	1753	11130	37750	19904	630.5	13136	12898	30289.5	341	450	6939.5	8836
PLATE1	1	HC-026K	22747.5	5413	30596.5	8761	22713	20211.5	190	89	24804	20691	15563	27695	1216	7001.5	10630.5	14657	31796	866.5	530	12108.5	14419	17561	308	579	887	4730
PLATE1	1	HC-027K	10967	3483	7293.5	15066	4583	6181	944.5	68	22737.5	7175	25216.5	59560	665	14752	744	564.5	59057.5	1703	322.5	12566	28461.5	11862	261	171	6772	12343
PLATE1	1	HC-028K	42239	29294.5	36755.5	16704	36732.5	29237.5	-335	-509.5	48774.5	32025.5	16898.5	24119.5	4025.5	14183	27912.5	17641	49951	1350.5	2196	19412	21206	25535.5	924.5	836.5	416.5	4037
PLATE1	1	HC-029K	2050.5	705.5	171	216.5	162	208	153.5	173.5	1044.5	597.5	3596.5	70268.5	1152.5	5942.5	2458	47053.5	80528.5	31126.5	610.5	42220.5	19382	570.5	246.5	908.5	479.5	33640.5
PLATE1	1	HC-030K	1047	436.5	80	1069	122.5	205	59	27	558	735	42315	74465	4654	23784	29588	57945	83148	7251.5	1321	47845	34341	1623	437	974	2203	48473.5
PLATE1	1	HC-031K	15027	274	3197	564	430	2145	788.5	55	1336	8177	71418	118763	48613	31339	4680	1840	112890.5	42101	1238	5354	10333	815	560	1348	38833	66264.5
PLATE1	1	HC-032K	6711	12076	1623.5	491	4185	1735	-24	-42	30598	4444.5	41840	55093	418	12380	4700	26850.5	112333	1026	876.5	692.5	1157	5068.5	295	354	228	27628
PLATE1	1	HC-033K	7935.5	11223.5	3683.5	8851	3529	3423.5	86.5	-104	14707	4197.5	48351.5	57354.5	17858.5	15780.5	854.5	1027.5	59742.5	26438.5	380.5	23856.5	33773.5	12439	387.5	1539.5	2407.5	1360.5
PLATE1	1	HC-035K	9772	10808	3317	3842	4270	2846	-10.5	-106	15729	4282.5	89256	168477	18444	19678	3760	20032	112471	10419.5	643	121634.5	105182	15747	499	668	8227	29069
PLATE1	1	HC-036K	48056.5	13334	35786	4646.5	35638	28132	59.5	89	50650.5	30531	32736	71158	4778	20031	6398	12946	52421	22533	814.5	59607.5	54386	31182	408	868	32153.5	30074
PLATE1	1	HC-037K	14244	14172	1257	4390.5	295	1475	126.5	105	9582	4735	16961	38486	698	19852	1627.5	1425	79639	2280	910	37183.5	18744	3928	199	455.5	471	10821.5
PLATE1	1	HC-038K	10779.5	190	217	-123	336	260	281	-80.5	987	873	13659.5	81453	605	12156	6522.5	41579.5	156767	24248	1220.5	19827	87645	2262.5	487	4117	360	60614
PLATE1	1	HC-039K	1111	1686.5	-134	-206	-130	-64	303	-156	1270	884	5342.5	51202	391	16515.5	9944	23245	30306	9659	4982	88996.5	25119	5040	496	1067	605	5077
PLATE1	1	HC-040K	1591.5	430	201.5	31.5	269	313	557	730	699	584.5	13349	89692	2409	9699	14885	39342	87944	15253	1553	77307	133027	1386	440	352.5	2479	2532
PLATE1	1	HC-041K	31560.5	15872.5	17407.5	5970	22387	13132	676	62	35662	15736	13893.5	28853.5	3679.5	9883	12089	16731	29950	2013	227	22695	23209	14687	235	2038	890	706
PLATE1	1	HC-042K	41536	62055.5	27780	25404	29837	25564	-21	-291	58627.5	29300	12385.5	106567	1934.5	8346.5	14216.5	8938.5	117878	9497.5	333	44335.5	70647	25587	668	588	6221	6703.5
PLATE1	1	HC-043K	28772	14723	27732	5619	19735	29617.5	136	32.5	29263.5	20877	16053.5	45487	1485	6464	18935	30291.5	49029	10337	572	76	3474	18227	236	262	652	11846.5
PLATE1	1	HC-045K	9649	17526	7935.5	18143	2909	6196	133	163	24381	4518.5	13179	67819	994	22096	3936	47688.5	21936	3133.5	590	1446	982.5	23250.5	411	673.5	2595	113976.5
PLATE1	1	HC-047K	30214	4336	13412	2963	20800	15135.5	994.5	285.5	32305.5	17932.5	11051	42645	2575	11704.5	6052.5	13581.5	54481	3279	375	26467	23177	15247.5	336	302	4604.5	4583
PLATE1	1	HC-048K	66097	19128.5	23710	5112.5	46674	19734	206	504	95756	48434	97493	137080	9732	40208	35729	60361.5	98007	76265	1806.5	99480.5	62303.5	54900	968	5346	61789.5	4312.5
PLATE1	1	HC-049K	1343	331	162	255.5	205	178.5	2535	101	457	1423	22424	38899	2738	16460	10861	29827.5	48656	11361	435	14537.5	16963	1469.5	403	654	2512	46451
PLATE1	1	HC-050K	2416.5	943	2079	1047.5	971	760	650	1019	1194.5	1122	116745.5	101767	4646	76404	7275.5	17314	103938	15554	2488	109605	111296	3105.5	852	1491.5	17497	8395.5
PLATE1	1	HC-051K	16771.5	63123	7928	9504.5	6878	6365	575	527	15309	7340	16212	43037.5	1491	5380.5	8774	46042	111313	12175	938	71794.5	81597	22975	446	559	2406.5	11534.5
PLATE1	1	HC-052K	34780	1099	15109	1448	26188	18441.5	55.5	69	34825	26371	22075	75750	2955	5356.5	798	10597	78446	713.5	440	48764	19813	33843	181	95.5	263.5	20132.5
PLATE1	1	HC-053K	1391.5	467.5	41.5	153.5	1133	169.5	135.5	121.5	679	714.5	2903	40805.5	559	12579.5	22753.5	87944.5	132696.5	59451	1636.5	427.5	1447.5	2144.5	347.5	1050.5	571.5	54515
PLATE1	1	HC-054K	46803	23416	29277	11139	42153	24604	11407	264	56731.5	33995.5	36372	66842.5	1259	27072	30705	22045.5	25175.5	10092	1081	38565.5	46209	27357.5	485	45	1114	3562
PLATE1	1	HC-055K	28184	10357.5	26950	16302	28710	26836	4140.5	18.5	26082	19616	4490.5	38752.5	1048	5025	8211.5	10068.5	24757	7095	255	11577	14537	14168.5	264	252	311	5012.5
PLATE1	1	HC-056K	52418	23695	51138	30458.5	60621	48510	413	94.5	49230	41643.5	21387	58884	3140	14780.5	4037	31784	50281.5	14266	398	28608	32675	35828	206	1435.5	4069	2416
PLATE1	1	HC-057K	38444.5	13357	33988	14745	40535	28744.5	140	76	47389.5	30412.5	20427	39061.5	2964	9360.5	22506.5	30378	46453.5	6641.5	893.5	27784.5	19798.5	21500.5	229.5	199.5	722.5	8256.5
PLATE1	1	HC-058K	26653	44693	22585.5	28892	13689.5	18278.5	513	32.5	43002	19820.5	46475	49274	2170.5	10415	4579.5	30137.5	77460	6295.5	595.5	24150.5	27121.5	38866	801.5	1511	8897.5	25259
PLATE1	1	HC-059K	20962	10100.5	8222	881.5	13486.5	5453.5	76	67	47137	16277.5	8698.5	37014.5	661	6015.5	7205	25326	43480.5	4454.5	417.5	27280	39470.5	11723	517	399	549	12634.5
PLATE1	1	HC-060K	5367.5	2749.5	-232	69.5	-50.5	-92	-636.5	-563.5	989.5	3564.5	51493	103648	8477.5	25455.5	34435.5	54875	81723.5	3962	437.5	57285.5	43209.5	1322.5	1370.5	562.5	30962.5	57742.5
PLATE1	1	HC-061K	3034.5	2320.5	1226.5	3334.5	6515.5	1111.5	1726.5	227.5	11277.5	918.5	74675.5	64919	8804.5	20624	3354.5	5105.5	46958.5	13335.5	678	67203.5	61960	4610.5	866.5	212.5	7777.5	3086.5
PLATE1	1	HC-062K	56995.5	26730.5	28981	5429	26262	23965.5	156.5	166	44473.5	29884	4200.5	56207.5	694.5	1283	4418	32854.5	52962.5	1793.5	634.5	1960.5	53042	22994.5	232.5	159	287	9342.5
PLATE1	1	HC-063K	22141.5	18290.5	12578	2261.5	17023	10589.5	7408.5	37.5	50303.5	13624	7006	72536.5	721.5	3486.5	1907.5	14318.5	45722.5	5752	436.5	1277.5	24243	13789	377.5	718.5	248.5	6242.5
PLATE1	1	HC-064K	775	366	225.5	135.5	123	419	911	100	811	302	42344.5	106450	14671	16295.5	4929	28737	124718.5	3011.5	453.5	72792.5	67468.5	648	442	4254	11185	64681
PLATE1	1	HC-065K	9571.5	11274	3165	2817.5	1943.5	4501	29830	3674	10086.5	5298	10674	39724	402	14466	9870	28470	86692	62540	2836	54862	53182.5	18256.5	595	921	1032	12722.5
PLATE1	1	HC-066K	1820.5	6251.5	478	247.5	324	2299.5	498.5	2	1274.5	743.5	74499	107814.5	2565.5	67929.5	18928	16402.5	89511	6261.5	1424	64422.5	64524.5	3455.5	540.5	726.5	9271.5	8587.5
PLATE1	1	HC-067K	8895.5	15608	7485	11285.5	5281.5	4825.5	433	128	31948	6309	46812.5	46275	2614.5	13222.5	5269.5	18055.5	58820	2487.5	463	40631	46024	26853	293	486	4741.5	47852
PLATE1	1	HC-068K	23756	1007	8849.5	4100.5	12572.5	8478	141	41.5	33433.5	13673.5	3173	66531.5	2093	2222	1286	17689.5	45555.5	12854	580	41842	41876.5	10176	259	128	861	7212.5
PLATE1	1	HC-069K	56211	32413	29465	8987.5	38331	23684	687.5	43.5	90714.5	35577.5	53846	138151	2590	22541.5	7569.5	40501.5	142424.5	4662.5	563.5	105601.5	140527.5	35189	388.5	148.5	822.5	61660.5
